2025-09-05 19:16:06.141 | INFO     | __main__:main:208 - Pikachu uses Shadow Ball that does 28 damage to Snorlax. Snorlax has 102 HP left!
2025-09-05 19:16:07.144 | INFO     | __main__:main:208 - Pikachu uses Mimic that does 0 damage to Snorlax. Snorlax has 102 HP left!
2025-09-05 19:16:08.146 | INFO     | __main__:main:208 - Pikachu uses Hyper Beam that does 28 damage to Snorlax. Snorlax has 74 HP left!
2025-09-05 19:16:09.148 | INFO     | __main__:main:208 - Pikachu uses Psychic that does 31 damage to Snorlax. Snorlax has 43 HP left!
2025-09-05 19:16:10.150 | INFO     | __main__:main:208 - Pikachu uses Quick Attack that does 22 damage to Snorlax. Snorlax has 21 HP left!
2025-09-05 19:16:11.153 | INFO     | __main__:main:208 - Pikachu uses Shadow Ball that does 28 damage to Snorlax. Snorlax has 0 HP left!
2025-09-05 19:16:12.156 | INFO     | __main__:main:230 - Pikachu knocks out Snorlax and wins the battle (d0f19992)!
2025-09-05 19:16:12.157 | INFO     | __main__:main:208 - Charmander uses Shadow Ball that does 14 damage to Eevee. Eevee has 101 HP left!
2025-09-05 19:16:13.159 | INFO     | __main__:main:208 - Charmander uses Body Slam that does 29 damage to Eevee. Eevee has 72 HP left!
2025-09-05 19:16:14.161 | INFO     | __main__:main:208 - Charmander uses Flamethrower that does 39 damage to Eevee. Eevee has 33 HP left!
2025-09-05 19:16:15.164 | INFO     | __main__:main:208 - Charmander uses Mimic that does 0 damage to Eevee. Eevee has 33 HP left!
2025-09-05 19:16:16.165 | INFO     | __main__:main:208 - Charmander uses Shadow Ball that does 14 damage to Eevee. Eevee has 19 HP left!
2025-09-05 19:16:17.168 | INFO     | __main__:main:208 - Charmander uses Mimic that does 0 damage to Eevee. Eevee has 19 HP left!
2025-09-05 19:16:17.168 | INFO     | __main__:main:265 - [METRICS last 60s][KOs] total=2
2025-09-05 19:16:18.170 | INFO     | __main__:main:208 - Charmander uses Psychic that does 16 damage to Eevee. Eevee has 3 HP left!
2025-09-05 19:16:19.172 | INFO     | __main__:main:208 - Charmander uses Mimic that does 0 damage to Eevee. Eevee has 3 HP left!
2025-09-05 19:16:20.175 | INFO     | __main__:main:208 - Charmander uses Flamethrower that does 39 damage to Eevee. Eevee has 0 HP left!
